Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LPD1,433.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
1,LPD2,433.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,LPD3,433.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,LPD4,433.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,LPD5,433.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,LPD6,433.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,LPD7,433.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,LPD8,433.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,LPD9,433.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,LPD10,433.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,LPD11,433.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
11,LPD12,433.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
12,LPD13,433.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
13,LPD14,433.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,LPD15,433.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,LPD16,433.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,LPD17,433.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,LPD18,433.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,LPD19,433.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,LPD20,433.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,LPD21,433.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,LPD22,433.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22,LPD23,433.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23,LPD24,433.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24,LPD25,433.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
25,LPD26,433.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
26,LPD27,433.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
27,LPD28,433.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
28,LPD29,433.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
29,LPD30,433.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
30,LPD31,433.825000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
31,LPD32,433.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
32,LPD33,433.875000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
33,LPD34,433.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
34,LPD35,433.925000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
35,LPD36,433.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
36,LPD37,433.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
37,LPD38,434.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
38,LPD39,434.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
39,LPD40,434.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
40,LPD41,434.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
41,LPD42,434.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
42,LPD43,434.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
43,LPD44,434.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
44,LPD45,434.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
45,LPD46,434.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
46,LPD47,434.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
47,LPD48,434.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
48,LPD49,434.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
49,LPD50,434.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
50,LPD51,434.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
51,LPD52,434.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
52,LPD53,434.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
53,LPD54,434.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
54,LPD55,434.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
55,LPD56,434.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
56,LPD57,434.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
57,LPD58,434.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
58,LPD59,434.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
59,LPD60,434.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
60,LPD61,434.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
61,LPD62,434.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
62,LPD63,434.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
63,LPD64,434.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
64,LPD65,434.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
65,LPD66,434.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
66,LPD67,434.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
67,LPD68,434.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
68,LPD69,434.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
69,PMR1,446.006250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
70,PMR2,446.018750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
71,PMR3,446.031250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
72,PMR4,446.043750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
73,PMR5,446.056250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
74,PMR6,446.068750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
75,PMR7,446.081250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
76,PMR8,446.093750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
77,PMR9,446.106250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
78,PMR10,446.118750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
79,PMR11,446.131250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
80,PMR12,446.143750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
81,PMR13,446.156250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
82,PMR14,446.168750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
83,PMR15,446.181250,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
84,PMR16,446.193750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,